yourlist:M201909045C475328CEF75220C360D524E9D456CE3FF4D7X	Entry	Entry name	Protein names	Gene names	Organism	Taxonomic lineage (ORDER)
WP_071629400.1	A0A345JS35	A0A345JS35_9GAMM	Protein translocase subunit SecA	secA CGC43_05825	Francisella sp. 14-2155	Thiotrichales
WP_071514602.1	A0A1S2WY05	A0A1S2WY05_9GAMM	Protein translocase subunit SecA	secA KX00_1489	Francisella sp. TX076608	Thiotrichales
WP_011648742.1	A0A0B6DTA8	A0A0B6DTA8_FRATU	Protein translocase subunit SecA	secA DA46_1291	Francisella tularensis subsp. holarctica	Thiotrichales
WP_011648742.1	Q0BL01	SECA_FRATO	Protein translocase subunit SecA	secA FTH_1418	Francisella tularensis subsp. holarctica (strain OSU18)	Thiotrichales
WP_014547932.1	F4BJY4	F4BJY4_9GAMM	Protein translocase subunit SecA	secA FN3523_0621	Francisella hispaniensis	Thiotrichales
WP_066047134.1	A0A153JBE5	A0A153JBE5_9GAMM	Protein translocase subunit SecA	secA AUF42_07940	Francisella hispaniensis FSC454	Thiotrichales
WP_003026740.1	A4IZ46	SECA_FRATW	Protein translocase subunit SecA	secA FTW_1470	Francisella tularensis subsp. tularensis (strain WY96-3418)	Thiotrichales
WP_010945009.1	Q7VM99	Q7VM99_HAEDU	Putative outer membrane serine protease	HD_1094	Haemophilus ducreyi (strain 35000HP / ATCC 700724)	Pasteurellales
WP_065239856.1	A0A1A7NM79	A0A1A7NM79_9PAST	Autotransporter domain-containing protein	QV01_09605	Gallibacterium genomosp. 3	Pasteurellales
WP_065237417.1	A0A1A7PS30	A0A1A7PS30_9PAST	Autotransporter domain-containing protein	QV06_06425	Gallibacterium genomosp. 3	Pasteurellales
WP_017806601.1	A0A377I7K2	A0A377I7K2_AVIPA	Outer membrane serine protease (EC 3.4.21.-)	ssa1 NCTC11296_01059	Avibacterium paragallinarum (Haemophilus gallinarum)	Pasteurellales
WP_017806601.1	S6EDY4	S6EDY4_AVIPA	Peptidase_S8 domain-containing protein	AJF4211_000430	Avibacterium paragallinarum JF4211	Pasteurellales
WP_058466652.1	A0A377GM19	A0A377GM19_9GAMM	Type IV secretory pathway, VirB4 components	NCTC11401_02663	Fluoribacter gormanii	Legionellales
WP_027269599.1	A0A2H5FGP5	A0A2H5FGP5_9GAMM	Type IV secretion protein IcmB	CAB17_00685	Legionella sainthelensi	Legionellales
WP_018577050.1	A0A0W0ZA64	A0A0W0ZA64_9GAMM	Protein IcmB (DotO)	Lsha_0188	Legionella shakespearei DSM 23087	Legionellales
WP_071662361.1	A0A1J8P7X3	A0A1J8P7X3_9COXI	Type IV secretion protein IcmB	A1D18_03105	Candidatus Rickettsiella isopodorum	Legionellales
WP_058453359.1	A0A0W0VX25	A0A0W0VX25_9GAMM	Protein IcmB (DotO)	Lmac_2673	Legionella maceachernii	Legionellales
WP_003635145.1	D3HL94	D3HL94_LEGLN	Uncharacterized protein	dotO LLO_2780	Legionella longbeachae serogroup 1 (strain NSW150)	Legionellales
WP_035890844.1	A0A0A2SSY8	A0A0A2SSY8_9GAMM	Type IV secretion protein IcmB	EP47_08365	Legionella norrlandica	Legionellales
WP_075066386.1	A0A0Q9YUQ5	A0A0Q9YUQ5_9COXI	AAA-like domain protein	HT99x_01766	Candidatus Berkiella aquae	Legionellales
WP_058465162.1	A0A378IMN0	A0A378IMN0_9GAMM	Protein IcmB (DotO)	NCTC12438_02840	Legionella cincinnatiensis	Legionellales
WP_031563537.1	A0A378LVC9	A0A378LVC9_9GAMM	Protein IcmB (DotO)	NCTC11532_02490	Legionella wadsworthii	Legionellales
WP_036479611.1	A0A084U9D5	A0A084U9D5_9RHIZ	RNA polymerase sigma factor RpoD (Sigma-70)	rpoD EL18_00587	Nitratireductor basaltis	Rhizobiales
WP_056035880.1	A0A0Q2UUW1	A0A0Q2UUW1_9RHOB	RNA polymerase sigma factor RpoD (Sigma-70)	rpoD AN189_11545	Loktanella sp. 3ANDIMAR09	Rhodobacterales
WP_075868825.1	A0A1R0F9R6	A0A1R0F9R6_9RHIZ	RNA polymerase sigma factor RpoD (Sigma-70)	rpoD PEB0149_011340	Bartonella apis	Rhizobiales
WP_006655711.1	C5ZX54	C5ZX54_9HELI	DNA gyrase subunit A (EC 5.6.2.3)	gyrA HCAN_1009	Helicobacter canadensis MIT 98-5491	Campylobacterales
WP_008789035.1	E7GAZ4	E7GAZ4_9FIRM	DNA gyrase subunit B (EC 5.6.2.3)	gyrB HMPREF9488_01934	Coprobacillus cateniformis	Erysipelotrichales
WP_019169018.1	A0A380G4I2	A0A380G4I2_STAIN	DNA gyrase subunit B (EC 5.6.2.3)	gyrB NCTC11048_00397	Staphylococcus intermedius NCTC 11048	Bacillales
WP_019169018.1	B0B0K3	B0B0K3_STAIN	DNA gyrase subunit B (EC 5.6.2.3)	gyrB	Staphylococcus intermedius	Bacillales
WP_060382434.1	A0A0X8C2L2	A0A0X8C2L2_9FLAO	Mechanosensitive ion channel (Mechanosensitive ion channel protein MscS)	AWN65_06550 EJB19_04505	Flavobacterium columnare	Flavobacteriales
WP_042277780.1	A0A090QLS5	A0A090QLS5_9FLAO	Small-conductance mechanosensitivone channel	JCM19294_1979	Nonlabens sediminis	Flavobacteriales
WP_061857983.1	A0A151AP12	A0A151AP12_9CLOT	ATP-dependent RecD-like DNA helicase (EC 3.6.4.12)	recD2_1 recD2 CLCOL_11100	Clostridium colicanis DSM 13634	Clostridiales
WP_061857983.1	A0A2T0AP92	A0A2T0AP92_9CLOT	ATP-dependent RecD-like DNA helicase (EC 3.6.4.12)	recD2 CPAL_19410	Clostridium thermopalmarium DSM 5974	Clostridiales
WP_021653459.1	U2EA13	U2EA13_9FIRM	ATP-dependent RecD-like DNA helicase (EC 3.6.4.12)	recD2 HMPREF1982_04723	Clostridiales bacterium oral taxon 876 str. F0540	Clostridiales
WP_073183654.1	A0A1M5QFP0	A0A1M5QFP0_9FIRM	ATP-dependent RecD-like DNA helicase (EC 3.6.4.12)	recD2 SAMN02745245_00619	Anaerosphaera aminiphila DSM 21120	Tissierellales
WP_066242018.1	A0A154BR82	A0A154BR82_ANASB	ATP-dependent RecD-like DNA helicase (EC 3.6.4.12)	recD2 AXX12_08575	Anaerosporomusa subterranea	Selenomonadales
WP_066826714.1	A0A151AXP7	A0A151AXP7_9CLOT	ATP-dependent RecD-like DNA helicase (EC 3.6.4.12)	recD2 CLTEP_22560	Clostridium tepidiprofundi DSM 19306	Clostridiales
WP_075757203.1	A0A1U7MDM5	A0A1U7MDM5_9FIRM	ATP-dependent RecD-like DNA helicase (EC 3.6.4.12)	recD2 SPSPH_36050	Sporomusa sphaeroides DSM 2875	Selenomonadales
WP_073003802.1	A0A1M6BBK5	A0A1M6BBK5_9CLOT	ATP-dependent RecD-like DNA helicase (EC 3.6.4.12)	recD2 SAMN05444401_0694	Clostridium amylolyticum	Clostridiales
WP_008107678.1	A0P7J7	A0P7J7_9PROT	Exodeoxyribonuclease VII, single-stranded DNA-specific exonuclease	MB2181_05500	Methylophilales bacterium HTCC2181	Nitrosomonadales
WP_046487500.1	A0A0D6EVA2	A0A0D6EVA2_9PROT	Single-stranded-DNA-specific exonuclease RecJ (EC 3.1.-.-)	recJ BN1208_0457	Candidatus Methylopumilus planktonicus	Nitrosomonadales
WP_047965319.1	A0A0J5GJI4	A0A0J5GJI4_9NEIS	Single-stranded DNA exonuclease	ACG97_00285	Vogesella sp. EB	Neisseriales
WP_038499343.1	A0A077DGE8	A0A077DGE8_9BURK	Single-stranded DNA exonuclease	IX83_03830	Basilea psittacipulmonis DSM 24701	Burkholderiales
WP_067729517.1	A0A172YN69	A0A172YN69_9GAMM	DNA polymerase III subunit alpha (EC 2.7.7.7)	A3K93_05105	Acinetobacter sp. NCu2D-2	Pseudomonadales
WP_023272142.1	V2TV87	V2TV87_9GAMM	DNA polymerase III subunit alpha (EC 2.7.7.7)	P256_00539	Acinetobacter nectaris CIP 110549	Pseudomonadales
WP_005111084.1	N9HTG3	N9HTG3_ACIBA	DNA polymerase III subunit alpha (EC 2.7.7.7)	F922_02128	Acinetobacter baumannii NIPH 201	Pseudomonadales
WP_064004547.1	A0A177W5W4	A0A177W5W4_9GAMM	AAA-like domain protein	A0O36_00626	Piscirickettsiaceae bacterium NZ-RLO1	Thiotrichales
WP_018577061.1	A0A0W0ZAE4	A0A0W0ZAE4_9GAMM	Protein IcmO (DotL)	Lsha_0231	Legionella shakespearei DSM 23087	Legionellales
WP_028387413.1	A0A0W0TY13	A0A0W0TY13_9GAMM	Protein IcmO (DotL)	Lgee_1011	Legionella geestiana	Legionellales
WP_058472393.1	A0A378KSL8	A0A378KSL8_9GAMM	Protein IcmO (DotL)	NCTC12376_00382	Legionella quateirensis	Legionellales
WP_058482083.1	A0A0W0ZAC6	A0A0W0ZAC6_LEGSP	Protein IcmO (DotL)	Lspi_0134	Legionella spiritensis	Legionellales
WP_017378263.1	A0A0K2L2U0	A0A0K2L2U0_PISSA	Type IV secretion system protein IcmO (EC 3.6.1.15)	icmO KU39_1286	Piscirickettsia salmonis	Thiotrichales
WP_028383650.1	A0A378JTY5	A0A378JTY5_9GAMM	Protein IcmO (DotL)	NCTC12239_00395	Legionella moravica	Legionellales
WP_058492328.1	A0A0W1AKL2	A0A0W1AKL2_9GAMM	Protein IcmO (DotL)	Lwor_0497	Legionella worsleiensis	Legionellales
WP_017482084.1	A0A009RP54	A0A009RP54_9GAMM	Sodium/hydrogen exchanger family protein	J536_1378	Acinetobacter sp. 809848	Pseudomonadales
WP_017482084.1	A0A1H8WRV1	A0A1H8WRV1_9GAMM	Sodium/proton antiporter, CPA1 family	SAMN02799632_03377	Acinetobacter sp. UNC434CL69Tsu2S25	Pseudomonadales
WP_032056130.1	A0A013TSV6	A0A013TSV6_ACIBA	Sodium/hydrogen exchanger family protein	J658_3700	Acinetobacter baumannii 573719	Pseudomonadales
WP_032056130.1	A0A242U811	A0A242U811_ACIPI	Sodium:proton antiporter	CAT59_05190	Acinetobacter pittii (Acinetobacter genomosp. 3)	Pseudomonadales
WP_057075047.1	A0A0R0RYS0	A0A0R0RYS0_ACIPI	Sodium:proton antiporter	APC53_03545	Acinetobacter pittii (Acinetobacter genomosp. 3)	Pseudomonadales
WP_005064573.1	A0A009IAX5	A0A009IAX5_9GAMM	Sodium/hydrogen exchanger family protein	J507_0228	Acinetobacter sp. 1295259	Pseudomonadales
WP_005064573.1	A0A022J4Z1	A0A022J4Z1_9GAMM	Sodium/hydrogen exchanger family protein	J622_01432	Acinetobacter sp. 1564232	Pseudomonadales
WP_005064573.1	A0A127KCX9	A0A127KCX9_9GAMM	Sodium:proton antiporter	A0J50_03835	Acinetobacter sp. DUT-2	Pseudomonadales
WP_005064573.1	A0A1C2TRL5	A0A1C2TRL5_ACIPI	Sodium:proton antiporter	EA751_06275 EA752_19430	Acinetobacter pittii (Acinetobacter genomosp. 3)	Pseudomonadales
WP_005064573.1	A0A255UJV4	A0A255UJV4_9GAMM	Sodium:proton antiporter	CIL08_05245	Acinetobacter sp. BS1	Pseudomonadales
WP_013196986.1	D8JDL3	D8JDL3_ACISD	Na+/H+ antiporter NhaP	AOLE_03755	Acinetobacter oleivorans (strain JCM 16667 / KCTC 23045 / DR1)	Pseudomonadales
WP_004639176.1	A0A0A8XH80	A0A0A8XH80_ACICA	Putative Na+/H+ antiporter	P23_2546	Acinetobacter calcoaceticus	Pseudomonadales
WP_004639176.1	A0A0Q5FIF2	A0A0Q5FIF2_9GAMM	Sodium:proton antiporter	ASF86_14600	Acinetobacter sp. Leaf130	Pseudomonadales
WP_062850022.1	A0A151YLA4	A0A151YLA4_9GAMM	Sodium:proton antiporter	AWW73_05960	Acinetobacter lactucae	Pseudomonadales
WP_014207471.1	F0KLX3	F0KLX3_ACICP	Putative Na+/H+ antiporter	nhx7 BDGL_002141	Acinetobacter calcoaceticus (strain PHEA-2)	Pseudomonadales
WP_073287570.1	A0A1M7ELZ6	A0A1M7ELZ6_9BACT	DNA adenine methylase	SAMN05720765_1434	Fibrobacter sp. UWH6	Fibrobacterales
WP_047916010.1	A0A0D6DYE3	A0A0D6DYE3_9LACT	Site-specific DNA-methyltransferase (adenine-specific) (EC 2.1.1.72)	LACPI_1777	Lactococcus piscium MKFS47	Lactobacillales
WP_021069353.1	U2J5K1	U2J5K1_9SPHI	Uncharacterized protein	M472_15755	Sphingobacterium paucimobilis HER1398	Sphingobacteriales
WP_004359306.1	D3I3R1	D3I3R1_9BACT	DNA adenine methylase (EC 2.1.1.72)	dam HMPREF0660_00526	Prevotella melaninogenica D18	Bacteroidales
WP_070481706.1	A0A1F1M930	A0A1F1M930_9STAP	Site-specific DNA-methyltransferase (adenine-specific) (EC 2.1.1.72)	HMPREF2916_02815	Staphylococcus sp. HMSC068D05	Bacillales
WP_065558843.1	A0A1B9JQW7	A0A1B9JQW7_9GAMM	Site-specific DNA-methyltransferase (adenine-specific) (EC 2.1.1.72)	A9G10_08405	Gilliamella apicola	Orbales
WP_008392490.1	A0A415YLA4	A0A415YLA4_9FIRM	DNA repair protein RadA	radA DW127_00185	Lachnospiraceae bacterium AM10-38	Clostridiales
WP_008392490.1	A0A417JUW9	A0A417JUW9_9FIRM	DNA repair protein RadA	radA DW698_06265	Lachnospiraceae bacterium AM26-1LB	Clostridiales
WP_008392490.1	A0A417UYR8	A0A417UYR8_9FIRM	DNA repair protein RadA	radA DXB19_09200	Lachnospiraceae bacterium OM02-26	Clostridiales
WP_008392490.1	B0NYM0	B0NYM0_9CLOT	DNA repair protein RadA	radA CLOSS21_00779	Clostridium sp. SS2/1	Clostridiales
WP_008392490.1	D4MZ47	D4MZ47_ANAHA	DNA repair protein RadA	radA CL2_08730 DCR88_07490 DO83_11980 ERS852425_02847 ERS852475_00431 ERS852520_02255 ERS852571_02297	Anaerostipes hadrus	Clostridiales
WP_008392490.1	E5VGV6	E5VGV6_9FIRM	DNA repair protein RadA	radA HMPREF0996_00275	Lachnospiraceae bacterium 5_1_63FAA	Clostridiales
WP_009204375.1	L1PWV4	L1PWV4_ANAHA	DNA repair protein RadA	radA HMPREF0369_02358	Anaerostipes hadrus DSM 3319	Clostridiales
WP_024028263.1	W1SMB5	W1SMB5_9BACI	Helicase	BAVI_10346	Bacillus vireti LMG 21834	Bacillales
WP_058295043.1	A0A2A7MH83	A0A2A7MH83_9CLOT	RNA helicase	CQ394_03915	Clostridium neonatale	Clostridiales
WP_055305896.1	A0A174CVW2	A0A174CVW2_9FIRM	Ski2-like helicase	ERS852422_02280	Turicibacter sanguinis	Erysipelotrichales
WP_034742657.1	W4PYR4	W4PYR4_9BACI	Uncharacterized protein	JCM9140_912	Bacillus wakoensis JCM 9140	Bacillales
WP_007060481.1	C6PS29	C6PS29_9CLOT	Helicase domain protein	CcarbDRAFT_1596	Clostridium carboxidivorans P7	Clostridiales
WP_006033740.1	A6FH83	A6FH83_9GAMM	Thymidylate synthase (TS) (TSase) (EC 2.1.1.45)	thyA PE36_22921	Moritella sp. PE36	Alteromonadales
WP_045102860.1	A0A090IV96	A0A090IV96_9GAMM	Thymidylate synthase (TS) (TSase) (EC 2.1.1.45)	thyA AWOD_I_2225	Aliivibrio wodanis	Vibrionales
WP_016503932.1	S3DI00	S3DI00_9GAMM	Thymidylate synthase (TS) (TSase) (EC 2.1.1.45)	thyA O1U_0600	Candidatus Photodesmus katoptron Akat1	Vibrionales
WP_065621090.1	A0A1B9PIP9	A0A1B9PIP9_ALIFS	Thymidylate synthase (TS) (TSase) (EC 2.1.1.45)	thyA A6E13_13150	Aliivibrio fischeri (Vibrio fischeri)	Vibrionales
WP_003794279.1	C4GEX6	C4GEX6_9NEIS	SPFH/Band 7/PHB domain protein	GCWU000324_00685	Kingella oralis ATCC 51147	Neisseriales
WP_007342306.1	F2BC42	F2BC42_9NEIS	PHB domain-containing protein	HMPREF9123_1297	Neisseria bacilliformis ATCC BAA-1200	Neisseriales
WP_003782268.1	F0EYH9	F0EYH9_9NEIS	Multifunctional CCA protein [Includes: CCA-adding enzyme (EC 2.7.7.72) (CCA tRNA nucleotidyltransferase) (tRNA CCA-pyrophosphorylase) (tRNA adenylyl-/cytidylyl-transferase) (tRNA nucleotidyltransferase) (tRNA-NT); 2'-nucleotidase (EC 3.1.3.-); 2',3'-cyclic phosphodiesterase (EC 3.1.4.-); Phosphatase]	cca HMPREF9098_0913	Kingella denitrificans ATCC 33394	Neisseriales
WP_070826288.1	A0A1S1CZC4	A0A1S1CZC4_9NEIS	Multifunctional CCA protein [Includes: CCA-adding enzyme (EC 2.7.7.72) (CCA tRNA nucleotidyltransferase) (tRNA CCA-pyrophosphorylase) (tRNA adenylyl-/cytidylyl-transferase) (tRNA nucleotidyltransferase) (tRNA-NT); 2'-nucleotidase (EC 3.1.3.-); 2',3'-cyclic phosphodiesterase (EC 3.1.4.-); Phosphatase]	cca HMPREF2608_05615	Neisseria sp. HMSC064D07	Neisseriales
WP_003679236.1	A0A2X1WRN2	A0A2X1WRN2_NEIME	Multifunctional CCA protein [Includes: CCA-adding enzyme (EC 2.7.7.72) (CCA tRNA nucleotidyltransferase) (tRNA CCA-pyrophosphorylase) (tRNA adenylyl-/cytidylyl-transferase) (tRNA nucleotidyltransferase) (tRNA-NT); 2'-nucleotidase (EC 3.1.3.-); 2',3'-cyclic phosphodiesterase (EC 3.1.4.-); Phosphatase]	cca NCTC9390_01307	Neisseria meningitidis	Neisseriales
WP_003679236.1	C0EKA1	C0EKA1_NEIFL	Multifunctional CCA protein [Includes: CCA-adding enzyme (EC 2.7.7.72) (CCA tRNA nucleotidyltransferase) (tRNA CCA-pyrophosphorylase) (tRNA adenylyl-/cytidylyl-transferase) (tRNA nucleotidyltransferase) (tRNA-NT); 2'-nucleotidase (EC 3.1.3.-); 2',3'-cyclic phosphodiesterase (EC 3.1.4.-); Phosphatase]	cca NEIFLAOT_00344	Neisseria flavescens NRL30031/H210	Neisseriales
WP_070814058.1	A0A1S1CGJ0	A0A1S1CGJ0_9NEIS	Multifunctional CCA protein [Includes: CCA-adding enzyme (EC 2.7.7.72) (CCA tRNA nucleotidyltransferase) (tRNA CCA-pyrophosphorylase) (tRNA adenylyl-/cytidylyl-transferase) (tRNA nucleotidyltransferase) (tRNA-NT); 2'-nucleotidase (EC 3.1.3.-); 2',3'-cyclic phosphodiesterase (EC 3.1.4.-); Phosphatase]	cca HMPREF2675_03310	Neisseria sp. HMSC061H08	Neisseriales
WP_070591301.1	A0A1E9N2I1	A0A1E9N2I1_9NEIS	Multifunctional CCA protein [Includes: CCA-adding enzyme (EC 2.7.7.72) (CCA tRNA nucleotidyltransferase) (tRNA CCA-pyrophosphorylase) (tRNA adenylyl-/cytidylyl-transferase) (tRNA nucleotidyltransferase) (tRNA-NT); 2'-nucleotidase (EC 3.1.3.-); 2',3'-cyclic phosphodiesterase (EC 3.1.4.-); Phosphatase]	cca HMPREF2700_07495	Neisseria sp. HMSC068C04	Neisseriales
WP_003683685.1	C5TJP3	C5TJP3_NEIFL	Multifunctional CCA protein [Includes: CCA-adding enzyme (EC 2.7.7.72) (CCA tRNA nucleotidyltransferase) (tRNA CCA-pyrophosphorylase) (tRNA adenylyl-/cytidylyl-transferase) (tRNA nucleotidyltransferase) (tRNA-NT); 2'-nucleotidase (EC 3.1.3.-); 2',3'-cyclic phosphodiesterase (EC 3.1.4.-); Phosphatase]	cca NEIFL0001_1015	Neisseria flavescens SK114	Neisseriales
WP_004520587.1	A0A1F1FTS1	A0A1F1FTS1_9NEIS	Multifunctional CCA protein [Includes: CCA-adding enzyme (EC 2.7.7.72) (CCA tRNA nucleotidyltransferase) (tRNA CCA-pyrophosphorylase) (tRNA adenylyl-/cytidylyl-transferase) (tRNA nucleotidyltransferase) (tRNA-NT); 2'-nucleotidase (EC 3.1.3.-); 2',3'-cyclic phosphodiesterase (EC 3.1.4.-); Phosphatase]	cca HMPREF2880_01225	Neisseria sp. HMSC067G11	Neisseriales
WP_004520587.1	D3A719	D3A719_NEISU	Multifunctional CCA protein [Includes: CCA-adding enzyme (EC 2.7.7.72) (CCA tRNA nucleotidyltransferase) (tRNA CCA-pyrophosphorylase) (tRNA adenylyl-/cytidylyl-transferase) (tRNA nucleotidyltransferase) (tRNA-NT); 2'-nucleotidase (EC 3.1.3.-); 2',3'-cyclic phosphodiesterase (EC 3.1.4.-); Phosphatase]	cca NEISUBOT_05036	Neisseria subflava NJ9703	Neisseriales
WP_070647217.1	A0A1F1HUK0	A0A1F1HUK0_9NEIS	Multifunctional CCA protein [Includes: CCA-adding enzyme (EC 2.7.7.72) (CCA tRNA nucleotidyltransferase) (tRNA CCA-pyrophosphorylase) (tRNA adenylyl-/cytidylyl-transferase) (tRNA nucleotidyltransferase) (tRNA-NT); 2'-nucleotidase (EC 3.1.3.-); 2',3'-cyclic phosphodiesterase (EC 3.1.4.-); Phosphatase]	cca HMPREF2865_10800	Neisseria sp. HMSC073G10	Neisseriales
WP_003746817.1	A0A1E9LZF4	A0A1E9LZF4_9NEIS	Multifunctional CCA protein [Includes: CCA-adding enzyme (EC 2.7.7.72) (CCA tRNA nucleotidyltransferase) (tRNA CCA-pyrophosphorylase) (tRNA adenylyl-/cytidylyl-transferase) (tRNA nucleotidyltransferase) (tRNA-NT); 2'-nucleotidase (EC 3.1.3.-); 2',3'-cyclic phosphodiesterase (EC 3.1.4.-); Phosphatase]	cca HMPREF2711_07815	Neisseria sp. HMSC070A01	Neisseriales
WP_003746817.1	E5UIY5	E5UIY5_NEIMU	Multifunctional CCA protein [Includes: CCA-adding enzyme (EC 2.7.7.72) (CCA tRNA nucleotidyltransferase) (tRNA CCA-pyrophosphorylase) (tRNA adenylyl-/cytidylyl-transferase) (tRNA nucleotidyltransferase) (tRNA-NT); 2'-nucleotidase (EC 3.1.3.-); 2',3'-cyclic phosphodiesterase (EC 3.1.4.-); Phosphatase]	cca HMPREF0604_00681	Neisseria mucosa C102	Neisseriales
WP_003090778.1	A0A087FBT2	A0A087FBT2_9PSED	Tellurium resistance protein TerC	JF55_11185	Pseudomonas sp. 1-7	Pseudomonadales
WP_003090778.1	A0A1S1GJ07	A0A1S1GJ07_9PSED	Tellurium resistance protein TerC	HMPREF3289_15985	Pseudomonas sp. HMSC75E02	Pseudomonadales
WP_003090778.1	B3G2D4	B3G2D4_PSEAI	Tellurium resistance protein (Tellurium resistance protein TerC) (TerC) (TerC/Alx family metal homeostasis membrane protein)	terC CAZ10_36705 DY940_24350 PACL_0408 PAMH19_6408	Pseudomonas aeruginosa	Pseudomonadales
WP_003090778.1	V6AMT1	V6AMT1_PSEAI	Tellurium resistance protein terC	terC PAMH27_5382	Pseudomonas aeruginosa MH27	Pseudomonadales
WP_065084856.1	A0A1B8T095	A0A1B8T095_9PSED	Tellurium resistance protein TerC	A9513_031185	Pseudomonas sp. AU12215	Pseudomonadales
WP_010792503.1	A0A1A9KNZ5	A0A1A9KNZ5_9PSED	Tellurium resistance protein TerC	A9C11_32060	Pseudomonas citronellolis	Pseudomonadales
WP_010792503.1	A0A1V0M5L3	A0A1V0M5L3_PSEAI	Inner membrane protein alx (Integral membrane, TerC family protein) (Tellurium resistance protein TerC) (TerC/Alx family metal homeostasis membrane protein)	alx_1 CSB93_6938 DY940_28725 DZ934_13795 RW109_RW109_00121	Pseudomonas aeruginosa	Pseudomonadales
WP_010792503.1	A0A212BIQ3	A0A212BIQ3_9PSED	Tellurium resistance protein TerC	B6S59_15975	Pseudomonas sp. A46	Pseudomonadales
WP_010792503.1	A0A2I0C777	A0A2I0C777_9PSED	Tellurium resistance protein TerC	CW309_25140	Pseudomonas hunanensis	Pseudomonadales
WP_010792503.1	A0A2R4Q682	A0A2R4Q682_9PSED	Tellurium resistance protein TerC	PkP19E3_31090	Pseudomonas koreensis	Pseudomonadales
WP_010792503.1	V4IT40	V4IT40_PSEPU	Tellurium resistance protein TerC	RPPX_26370	Pseudomonas putida S12	Pseudomonadales
WP_034291104.1	A0A376BVI6	A0A376BVI6_9NEIS	Inner membrane protein alx	alx_3 NCTC10283_02586	Alysiella crassa	Neisseriales
WP_027022260.1	A0A3P2A1Q9	A0A3P2A1Q9_9NEIS	TerC/Alx family metal homeostasis membrane protein	EII21_10780	Conchiformibius steedae	Neisseriales
WP_058487190.1	A0A0V8T779	A0A0V8T779_PSESD	Tellurium resistance protein TerC	AOX63_00330	Pseudomonas sp. (strain ADP)	
WP_058487190.1	A0A1A5DBB9	A0A1A5DBB9_9PSED	Tellurium resistance protein TerC	BAE52_05885	Pseudomonas sp. EGD-AKN5	Pseudomonadales
WP_016094795.1	R8CI56	R8CI56_BACCE	Uncharacterized protein	IGA_05562	Bacillus cereus HuA3-9	Bacillales
YP_008873431.1	U5J9M4	U5J9M4_9CAUD	Uncharacterized protein		Bacillus phage vB_BanS-Tsamsa	Caudovirales
WP_052268926.1	A0A0B5AT62	A0A0B5AT62_9BACL	Nicotinate phosphoribosyltransferase	JMA_40620	Jeotgalibacillus malaysiensis	Bacillales
WP_076271707.1	A0A1R0ZL51	A0A1R0ZL51_9BACL	Nicotinate phosphoribosyltransferase	BK120_32965	Paenibacillus sp. FSL A5-0031	Bacillales
WP_002641812.1	V9HL46	V9HL46_9NEIS	N6_N4_Mtase domain-containing protein	HMPREF9021_01114	Simonsiella muelleri ATCC 29453	Neisseriales
WP_006803755.1	C9MVX9	C9MVX9_9FUSO	Ser/Thr phosphatase family protein	GCWU000323_00418	Leptotrichia hofstadii F0254	Fusobacteriales
WP_021768141.1	U2WET6	U2WET6_9FUSO	Ser/Thr phosphatase family protein	HMPREF9108_01429	Leptotrichia sp. oral taxon 225 str. F0581	Fusobacteriales
WP_021743264.1	U2PUF3	U2PUF3_9FUSO	Ser/Thr phosphatase family protein	HMPREF1552_02339	Leptotrichia sp. oral taxon 879 str. F0557	Fusobacteriales
WP_015769031.1	C7N952	C7N952_LEPBD	Metallophosphoesterase	Lebu_0775	Leptotrichia buccalis (strain ATCC 14201 / DSM 1135 / JCM 12969 / NCTC 10249 / C-1013-b)	Fusobacteriales
WP_005904096.1	D5RF87	D5RF87_FUSN2	Ser/Thr phosphatase family protein (EC 3.1.4.37)	HMPREF0397_1872	Fusobacterium nucleatum subsp. nucleatum (strain ATCC 23726 / VPI 4351)	Fusobacteriales
WP_011015699.1	Q8RIJ0	Q8RIJ0_FUSNN	2',3'-cyclic nucleotide 3'-phosphodiesterase (EC 3.1.4.37)	FN1603	Fusobacterium nucleatum subsp. nucleatum (strain ATCC 25586 / CIP 101130 / JCM 8532 / LMG 13131)	Fusobacteriales
WP_002642155.1	V9H5N4	V9H5N4_9NEIS	IS605 OrfB family transposase	HMPREF9021_01750	Simonsiella muelleri ATCC 29453	Neisseriales
WP_070514239.1	A0A1E9VDY4	A0A1E9VDY4_9NEIS	Transposase	HMPREF2600_07415	Neisseria sp. HMSC077D05	Neisseriales
WP_070514239.1	A0A1V0HG17	A0A1V0HG17_NEISI	Transposase	A6J88_11020 A6J88_11125 A6J88_11840	Neisseria sicca	Neisseriales
WP_070514239.1	A0A2R4AU17	A0A2R4AU17_NEIMU	Transposase	NM96_03610 NM96_06145	Neisseria mucosa	Neisseriales
WP_064086240.1	A0A1A9RAE4	A0A1A9RAE4_EIKCO	Transposase	A7P90_11670	Eikenella corrodens	Neisseriales
WP_012031625.1	A5EX19	A5EX19_DICNV	Transposase, IS605 family	DNO_1341	Dichelobacter nodosus (strain VCS1703A)	Cardiobacteriales
WP_003785666.1	F5S5E2	F5S5E2_9NEIS	2-isopropylmalate synthase (EC 2.3.3.13)	leuA HMPREF0476_0425	Kingella kingae ATCC 23330	Neisseriales
WP_034291182.1	A0A376BVE1	A0A376BVE1_9NEIS	Probable transposase	NCTC10283_02536	Alysiella crassa	Neisseriales
